Czas[s]	Masa[g]
39.728	0.000
39.929	0.000
40.124	0.000
40.310	0.000
40.497	0.000
40.699	0.000
40.916	0.000
41.151	0.000
41.375	0.000
41.565	0.000
41.773	0.000
41.956	0.000
42.136	0.000
42.322	0.000
42.502	0.000
42.702	0.000
42.905	0.000
43.094	0.000
43.290	0.000
43.476	0.000
43.671	0.000
43.876	0.000
44.068	0.000
44.264	0.000
44.460	0.000
44.661	0.000
44.867	0.000
45.073	0.000
45.272	0.000
45.471	0.000
45.667	0.000
45.872	0.000
46.119	0.000
46.382	0.000
46.598	0.000
46.792	0.000
46.990	0.000
47.185	0.000
47.391	0.000
47.579	0.000
47.771	0.000
47.979	0.000
48.185	0.000
48.377	0.000
48.578	0.000
48.773	0.000
48.963	0.000
49.151	0.000
49.347	0.000
49.539	0.000
49.737	0.000
49.934	0.000
50.144	0.000
50.338	0.000
50.525	0.000
50.729	0.000
50.925	0.000
51.121	0.000
51.311	0.000
51.514	0.000
51.779	0.000
51.980	0.000
52.173	0.000
52.363	0.000
52.548	0.000
52.749	0.000
52.937	0.000
53.122	0.000
53.320	0.000
53.508	0.000
53.701	0.000
53.894	0.000
54.129	0.000
54.373	0.000
54.606	0.000
54.836	0.000
55.049	0.000
55.237	0.000
55.432	0.000
55.617	0.000
55.815	0.000
55.994	0.000
56.171	0.000
56.361	0.000
56.553	0.000
56.743	0.000
56.972	0.000
57.184	0.000
57.370	0.000
57.568	0.000
57.757	0.000
57.957	0.000
58.158	0.000
58.353	0.000
58.640	0.000
58.844	0.000
59.038	0.000
59.235	0.000
59.425	0.000
59.616	0.000
59.816	0.000
60.010	0.000
60.195	0.000
60.399	0.000
60.615	0.000
60.820	0.000
61.012	0.000
61.214	0.000
61.516	0.000
61.749	0.000
61.963	0.000
62.186	0.000
62.415	0.000
62.607	0.000
62.803	0.000
62.997	0.000
63.191	0.000
63.395	0.000
63.611	0.000
63.801	0.000
64.005	0.000
64.255	0.000
64.446	0.000
64.634	0.000
64.839	0.000
65.048	0.000
65.233	0.000
65.423	0.000
65.618	0.000
65.806	0.000
65.992	0.000
66.176	0.000
66.360	0.000
66.544	0.000
66.741	0.000
66.987	0.000
67.224	0.000
67.463	0.000
67.696	0.000
67.923	0.000
68.151	0.000
68.365	0.000
68.569	0.000
68.860	0.000
69.179	0.000
69.446	0.000
69.713	0.000
69.931	0.000
70.157	0.000
70.366	0.000
70.615	0.000
70.825	0.000
71.037	0.000
71.265	0.000
71.482	0.000
71.751	0.000
71.995	0.000
72.260	0.000
72.477	0.000
72.727	0.000
72.975	0.000
73.204	0.000
73.438	0.000
73.689	0.000
73.937	0.000
74.163	0.000
74.377	0.000
74.575	0.000
74.777	0.000
74.995	0.000
75.208	0.000
75.412	0.000
75.634	0.000
75.866	0.000
76.098	0.000
76.368	0.000
76.571	0.000
76.765	0.000
76.968	0.000
77.171	0.000
77.414	0.000
77.610	0.000
77.811	0.000
77.996	0.000
78.221	0.000
78.430	0.000
78.621	0.000
78.827	0.000
79.013	0.000
79.252	0.000
79.447	0.000
79.637	0.000
79.842	0.000
80.039	0.000
80.230	0.000
80.411	0.000
80.608	0.000
80.793	0.000
80.994	0.000
81.188	0.000
81.364	0.000
81.555	0.000
81.745	0.000
81.968	0.000
82.180	0.000
82.385	0.000
82.595	0.000
82.801	0.000
83.000	0.000
83.213	0.000
83.418	0.000
83.666	0.000
83.858	0.000
84.060	0.000
84.268	0.000
84.466	0.000
84.666	0.000
84.863	0.000
85.176	0.000
85.397	0.000
85.595	0.000
85.815	0.000
86.015	0.000
86.201	0.000
86.371	0.000
86.570	0.000
86.763	0.000
86.933	0.000
87.102	0.000
87.292	0.000
87.482	0.000
87.683	0.000
87.860	0.000
88.064	0.000
88.258	0.000
88.445	0.000
88.638	0.000
88.871	0.000
89.116	0.000
89.336	0.000
89.525	0.000
89.719	0.000
89.915	0.000
90.098	0.000
90.371	0.000
